nickname;blurb
Kurisu;Just pictures of props no proof of Johnny doing anything
SSA Rylee;stop looking at johnny
Milka Paredes;parece todo arreglado la foto de amber
Cuzimklein;#freeamber johnny depp spilled juice omg!!
lindasvensson956;No pictures Johnny is in? Is that proof then ???
Well FARE;Johnny yelling with his hands full.. lol
Elizabeth Purdy938;Johnny didn’t like that wine!
Reanamater;Even if Johnny hit her idc at this point. A lot of women would love to be thrown around by him
michaelowens9454;whoops Johnny spilt his mega pint
:(;TEAM JOHNNY ALL THE WAY BABYYY
Abby young;Notice all she’s says is Johnny did it
St1nd4b1nz;love to see Oops, I Did It Again cold opening on SNL featuring Janet, Will, and Amber
Megan :);JUSTICE FOR JOHNNY DEPP
Jasmine n Ala-dam;Justice for Johnny!!!
Jasmine n Ala-dam;Justice for Johnny!!!
Megan :);JUSTICE FOR JOHNNY DEPP
elbalcon_delas_sucus;Not a single video of Johnny doing this?
getfreshautodetailing;amber step on   Me  haha
Elizabeth Richard;She thinks she did something there? Why the smirk? Is it funny Amber?
Jasmine n Ala-dam;Justice for Johnny!!!
lo Tafa;What sort of bottle is it, is that Johnny favourite,what colour are his curtains. How’s his dogs
It’s me;Y’all make any excuse it’s okay to admit Johnny wasn’ta saint without siding with her
BC4HONEY;Johnny Depp for the Breaking Bad sequal
Lenal Lambert;whats the pink stuff in bottle amber
Brandon Rodriguez;Johnny spilled his mega pint of wine.
Jackie Schrader;Damn it Johnny , why you spilling wine
cinny1132;Johnny would never spill is mega pint of wine LIAR!!!
Jasmine n Ala-dam;Justice for Johnny!!!
vicknelson;Get Johnny lawyers on watch the real tears appear
Joanna Rhoades;Amber heard: “ I poured it there.”
RitaS.;Get out of hereeeee amberrrrr
Paula;AMBER IS SO BAD IN LYing
greeneyedchonk;Johnny spilled? Her insta is full of her wine stains. No respect for property of others.
Jasmine n Ala-dam;Justice for Johnny!!!
_jordymladikos;no one wants your tissues Amber
yes;no proof of johnny doing any of this
Jasmine n Ala-dam;Justice for Johnny!!!
major27;johnny depp all the way
Nicks;No one wants your tissue amber
Bella;Okay I hate amber but she is actually gorgg
user5141652164895;she could’ve knocked this stuff over and blamed it on johnny
Rae;I SWEAR TO CHEETO LORDS SAY TEAM AMBER AGAIN AND ILL SCREAM
Heather;Oh that’s right you don’t need them Amber
Frankie B;Amber don’t need em lol
mroman81;Amber like here I got you lol
edditss;And I Said Johnny you Hit me you just Hit me
Ducky;What about Jonny’s finger she cut off Amber is Pycho
lunawolf;no one wants your tissues amber!
Jasmine n Ala-dam;Justice for Johnny!!!
Meg Y;Amber has some tissue
Fi Dalton;Shove your tissues amber
TheBasicBiker;So the Jury member is crying, but not Amber....
user1611983056238;Guys Amber Is beautiful gaddamn
jimmyNdebra;No one wants your tissue amber
Jasmine n Ala-dam;Justice for Johnny!!!
djny424;OBJECTION amber needs tissue
Nicks;No one wants your tissue amber
Greebo;we all see right through you amber
Angie;She’s trying so hard to not look at Johnny.  Can’t stand her
Jasmine n Ala-dam;Justice for Johnny!!!
Mangofever4;He paid for a roof over your head and u repay him by dumping on his bed Amber?
Heather;What’s in your bottle Amber
SirRocko90;I LOVE JOHNNY AND IM NOT GAY
Jasmine n Ala-dam;Justice for Johnny!!!
Nicks;No one wants your tissue amber
Maria Suh;I think Johnny would definitely pay her some money there’s no way that they gonna pass by this
Veronica Mrtnz;Why didn’t she take videos or photos of Johnny destroying her penthouse?
Tonya Marie Allred;Justice for Johnny depp
Alexis Rodriguez;She aimed the box at Johnny bruh
mattieice21;just use the sheets like Amber
Michelle;Even Amber sounds over the damn wine pics
Ramazan;Johny depp for the win
Random_thingzzz;HAHAHA AMBER LOOSEEEEEEE JONNY WINN!!
Wanda;Amber please give me a tissue
yessicadelrey;Why is Amber so obsessed with wine pics /topics? Wine evidence. The cheap wine she liked etc
Hey breyð hehe;MAYBE she has a cute smile BUT Johnny’s is cuter
Me_n_u_n_yourfriendsteve;i was walking outa the bedroom and i turned to look at him and i said "Johnny you h!t me!!"
kristencecil;I can’t take amber seriously
Ellie;MY MEGA PINT AMBER DAMN IT YOU SPILLED IT
..;When does johnnys team get to question her
Kassandra Davies-Bow;Don’t give them amber’s tissue!! It’s got coke in it!!
RxKat;JURY FURIOUS JOHNNYS VIOLENCE
Vickie;one juror is crying not good for Johnny
Big_Bird1112;where’s the video of Johnny destroying
Greg Barrett;who cares spilled wine obviously Johnny never put hands on her
Vivian Gomigo;Sooooo all is showing Amber doesn’t clean her house l…. Or the house keeper hasn’t cleaned the house
user7268184420009;When will Johnny’s lawyers ask her questions?
Green goddess Keira;This trial was the dumbest thing Johnny could do. He looks even worse than when he started
m_deseree;JOHNNY IS RIGHT HANDED, ALL HER INJURIES ARE ON THE LEFT.
Paige;johnny probably noticed the juror needed a tissue
Omar Perez;Who ever said amber is bad u down bad my guy
María Lucía Essi;Esa foto tiene el mismo piso de la casa actual de Amber
Brea;@gia.122033777 johnnys lawyer did
Pedro Rodriguez;It’s spilled wine from Johnny’s mega pint lol
Jetti Romero;Johnny justicia para ti
Adana Mo;#justiceforjohnnydepp
Colin;So Johnny left, and she trashed the house and took pictures
Cynthia;anyone things Johnny is going to win that bread he is suing her for?
FrankthenotsoTank;They wouldn’t let Amber throw the box over to them in case she had good aim and pegged one of them !
Nadia Leigh;Amber the bottom feeder
CHAZZER;Amber heard what you doing in my fridge stop doing that and get out, get out do not do that again
Juli;Yes the same officer said that amber was rude and uncooperative yes that officer
Olivia mae;If she got a jury to cry she is convincing them now im scared johnny could lose
user277952372646;todo mi apoyo a Jonny Depp sa
Kariny;who supports Johnny, write his name on the live
Nataly RS;justicia para Johnny deep
Jetti Romero;COLOMBIA TE APOYA JOHNNY, EL MUNDO SABE DE TU INOCENCIA
OldskoolMillennialMaMa;Wait how is ambers lawyer making the judge’s decision???
Peacefulliving8;Ambers lawyer is aggravating AF
user3598969929176;Only ambers and her witness when they speak they speak directly and look at the jurors lol
user4390161281599;give the dog to Johnny
LadyOnAutoPirate;LIE DETECTION TEST FOR AMBER ASAP
Ashley Emery;I see free Johnny,..what are we freeing him from?
adama bangura;who The f said justice for amber
Eoin;Amber <<<<<<<<<<<<<<<<<<<<<
Yhomira Cajusol Sulc;desde Perú apoyando a Johnny Depp
Ellie;i love how ambers lawyers act like babies whenever they get a “hearsay” from the other team
Leston;Johnny juss fup a lil not all bad may the judge b most lenient and fair
christinekraychy;Make it up as you go dear Amber
Myaaa;oh but y’all was hearsay tf outta johnny
Sachi Hernandez;johnny depp is single
Theresa May;remember your lines amber
Peacefulliving8;The truth is hard for Amber
Bella;JUST A WARNING DONT LIE AMBER
nogreaterlove53;Tell a good lie now Amber
y_u__t.aaaaa;why she complain johnny does drugs. like you do the same stuff as him
LittleCupCake;“MY DOG STEPPED ON A BEE” IF U DONT KNOW ME IM THAT BEE, AMBERS
Michael Jackson <333;JUSTICE FOR JOHNNY DEPP
OldskoolMillennialMaMa;Wait how is ambers lawyer making the judge’s decision???
EllyceJohnson_420;Okay but like Johnny > anyone else
.;Come on amber gget your lies straight
Kill me;ALSO, The age difference between them is 22 years. AMBERS TRYING TO GET HIM FOR HIS MONEY
OldskoolMillennialMaMa;Wait how is ambers lawyer making the judge’s decision???
Spookyhoee;Looks like amber is having a hard time remembering the “story”
Remi BB;#JusticeforAmberHeard
Mama_tycoon;She’s like the new Miley Cyrus. Miley grew up. Amber did not.
Brea;Ambers lawyer is speaking to her, Johnny’s lawyer is one that keeps objecting
Bruh what follow me;Bro amber just give up you can’t even tell a story straight
Capiz;Amber was flabbergasted
Starlette Sky Alforque;woooooow her team can object to EVERYTHING but the second johnnys team objects they got an issue
Marina Miranda;i wished that johnny pressed charges so she can go to jail
Jane;Trailer trash before sponging off Depp
Bethany Bausum;They’re trying to insinuate Johnny paid the cops off.
ElChispas1988;Depp saved himself from a gone girl type movie
LOVE U ALL;stop saying my name amber
Wanda;Well Amber .. They just took your box off  tissue,
Lady Lisa;She was using Johnny so much!!!!!
Jay Danceman;Where was Johnny during this time??
user9659506594266;She had hep from her frens to set up Johnny
lindaolvillal8;Justicia para Johnny Deep
......;SSS STUTTERING AMBER LIAR
David Karow;who showed you how to talk and act ( amber ) " Joe Biden showed me everything"
Kristinejirgensone00;I turned to look at him and i said Johnny u hit me
Michelle Ortiz715;bro johnny is so done
God Heals The Broken;Johnny making her Nervous
calm_ur_tatas;What is Johnny writing????
Elizabeth Richard;Sound like all your freeloading family and friends hate Johnny too, huh Amber? I wonder why?
rocthemic1;So if Johnny did all this and the police was called why didn’t they take him in?
user1014572348579;#justiceforjohnnydepp
devin4813;Johnny straight chillen
Mangofever4;Johnny gimme a smile pls
user4152900657221;I LOVE JOHNNY DEPPPPPPPPP
user5141652164895;is johnny able to talk in this court
user284835159691;DID JOHNNY FALL ASLEEP
user1612563067420;Johnny drawing more pics for the fridge
Westerosian;I love how Johnny refuses to look at her
souraccoonjuice;Btw Jonny is sueing amber for defamation of character so amber has too lose
Julie vels;We aren’t watching some  renovation show amber
Dominic;Johnny straight chilling
Paz Belen Sanchez Mo;johnny te amo yo te apoyi
Kurisu;All the penthouses Johnny let your friends live in rent free?
Starlette Sky Alforque;ambers lawyers still speaking and complaining and rambling after getting objected ONce!!!
user1227710433948;bro let me be Johnny depps Lawyer bro cases is closed now
LOVE U ALL;when will amber go to jail already
DG Mitchell;Amber looks like a LIAH.
user5141652164895;is johnny able to speak
Mr.joestar;I’m from the future and Johnny wins
michaelowens9454;My friend Rach could do with Johnnys against her ex girlfriend
me;Johnny drawing again?
ShaunsIn11;Listen everybody Johnny want drop did not not do nothing his girl friend was being bitch because
Kill me;Johnny looks so bored
karizamarronclyma1;Johnny’s highlights look good!
Kariny;who supports Johnny, write his name on the live!
user3089181419149;Amber has to write notes for all thous lies
Yourmom420;Amber looks like she’s high
Danni<3;Johnny is so confused rn
Tanecia Monique;Johnny is so over this lol
nay;no one belive you amber
Remi BB;#JusticeforAmberHeard
Katie Land;The confusion on johnnys face
Sheldon;When when Johnny speaks he gets an objection after five seconds
RitaS.;#stutterrrflyyyy byebyeee amberrrr
Tina;snort some more amber
Aleihs Nirel;u did a trouble of johnny already cmon
Marina Miranda;the officers said johnny wasn’t there
Nadine/spam;Didn’t want him in trouble is that the best you got amber
Random posts:p;Johnny depp is so confused
LittleCupCake;“My dog stepped on a bee” IF U DONT KNOW ME IM THAT BEE, AMBER HEARDS DOG STEPPED ON ME
ShaunsIn11;Johnny told her he did not want to be with her
Megan Fisher;I feel like Johnny is playing tik tak toe
syn;thanks for ur service amber
henrycleon25;jajajajajajaja Amber is a clown
ZALLOW;I wonder what Johnny is thinking
Dokyu;Johnny GOD Amber zzzzzzzz
Veronica Mrtnz;I don’t want to get Johnny in trouble, I’m just going to call the police
shinichi kudo;stop, stop, stop, stop, stop, AMBER!!! STOP!!!
slimelife;she didn’t want them to arrest johnny but called the police ?
LittleCupCake;“My dog stepped on a bee” IF U DONT KNOW ME IM THAT BEE, AMBER HEARDS DOG STEPPED ON ME
Red master;Johnny cena and amber herd
Queenly_sarah;LEAVE THE COUCH ALONE AMBER
user8123580943173;I wish we could see Johnny too
Saint Pearce-Tripp;footage of johnny leaving after the incident?
Denisse Lopez;Where is Johnny at this point
Stephen Michael;Amber reminds me of that gal from the bachelor on claytons season,
Nengi;Rest Amber rest in Jesus name
George Youssef;Smash or pass on amber guy’s?
chef_lloyd_ardee;Didn’t want to get Johnny in Trouble but i Filmed EVERYTHING , yah OK AMBERRR
Monique Maldonado;Why she look towards Johnny for help with her story
[Mæli];Amber: udhdhfdbbdjskjxjdjskjfkdkdkgjjd
Maryori;justice for Jonny Depp
Emily&Ashton;Amber heard and Biden need to collab maybe together they can make a bit of since.
CrunchyBoa;Justice for Johnny!!!!
Kata Trujillo;I believed that the devil is sitting taking note to learn to lie like Amber
chef_lloyd_ardee;Didn’t want to get Johnny in Trouble but i Filmed EVERYTHING , yah OK AMBERRR
User7777;AMBER SHOULD NOT BE HEARD
chef_lloyd_ardee;Didn’t want to get Johnny in Trouble but i Filmed EVERYTHING , yah OK AMBERRR
Yourmom420;So when does Johnny get his turn to speak?
chef_lloyd_ardee;Didn’t want to get Johnny in Trouble but i Filmed EVERYTHING , yah OK AMBERRR
Kristan Leigh Youngb;Johnny wins no matter what
Destined Artist;I’m sure Johnny is just like “this woman lol”
Ems;JONNY DEPP FIR THE WINNNN
chef_lloyd_ardee;Didn’t want to get Johnny in Trouble but i Filmed EVERYTHING , yah OK AMBERRR
christinekraychy;You are RAMBLING dear Amber
WHATdidUsayDEAR;She called Johnny Deb‘s kids little weirdos
PacMalo;amber= sheeeeeeeeeeesh
Mirian Alfaro654;justice for Johnny Depp !!!!
tommas100;team amber JOKES NEVER, JONNY ALWAYS!!!!!!!!!!!!!!!!
Aurela;JOHNNY DOU JUST HIT ME
Merche Mateos G;para lo que entiendo... que me pongan la cámara deJohnny, por lo menos alegro la vista
vidaldoyle;Johnny don’t let her shit on ur bed bro
jennifer;That’s why they were there!! They knew it was Johnny
sandradiaz1760;apoyo total a Johnny Depp, Amber no tiene idea realmente  recibir maltrato físico emocional y mental
YOUR GUARDIAN ANG822;let put amber in jail
Elizabeth Mace;Pleas say Johnny is not going to jail
anishaamin;Just end this already we all know that Johnny is going to win and is telling the truth
Fglm009;justice for Johnny!!!
demi;He slapped me across the face,I turned to look at him,I said Johnny you hit me,you just hit me.
Smokie;johnny jus drawing lol
Ems;JUSTIC FOR JONNY DEPP
......;justice for Johnny Depp
user2149989913494;justice for Johnny Depp
Kaydence Bebee;Bruh amber stop trying honestly
Kc;Johnny playing games on his phone at this point
Night Garden;no way....if they took Johnny when would she beat him
Geovanny;#TEAMAMBER #TEAMAMBER
Dileevia;loving Amber is like loving shaitan
Abel Cruz;Hey my boy johnny deep
Logan Smith;johnny reading the comments
Aleks;Boooooooo amber heard
Evie Grace8387;#JOHNNYDEPP #JOHNNYDEPOFORTHEWIN!!!!
VALENTINA;johnny depp i love you
Hi.;there is our johnnyyyy
Kat;My dog stepped on one of ambers lies
hello;my dog stepped on a bee and I gtg shit in Amber heards  moth
Adi<3;everything is in favor of Jonny if Amber wins it will be seen that there was a bribe
Dayton Jukes;If judge judy was doing this case it would have been over in 15 minutes and amber would be jailed
natalie_link;how long until the johnnys team asks questions
http.lemon.tea;Johnny’s looking so much better
Rustiikki Ruksi;Johnnys team watching toons.
Yourmom420;Amber better lose I swear, there’s so much evidence that she’s lying
DaddyDonny;@me_me1322 the bees are counter suing for wrongful death. They claim Amber Murdered on their workers
Chaotic_Jaden;Amber is full of damn lies how could y’all be on her side cuz she a girl?
lilly;# freedomforjhonnydepp
Hanna Bartholine Lev;Blue Heart for Johnny
iamwhoiam;Johnny slay as always
drcrypto101;amber is my kinda woman
Jamie Miller;That they boy from the staircase doc sitting next to Depp?
Tik Toker;Amber should just give up
_raffaellamarino_;ueee Amber  ripiglt nu poc
Kat;Johnny and the dog are innocent
kev;looking a lil red LiAmber
Darlene Denend;johnny has applesauce lol
Kurisu;You know she’s fuming that the world knows she shit on Johnny’s bed
Jules;can Johnnys lawyers ask questions now
lunawolf;look at amber trying to look depressed lol
Katiuscia;Johnnyyyyyyyyyyyyyy babyyyyyyyyyy
Evie Grace8387;I walked out of the bedroom slapped me across the face I turn a look at him, I said Johnny you hit-
user5923137164380;amber and Meghan Markle are the same
MRj679;LAMBER LEARD < WONNY WEPP
c;Imagine Johnny turned out to be guilty
Susan Martinez;Whole different demeanor today from Amber
Jeffrey Hensley;She cannot prove Johnny did any of them damages
Melissa Kaye Jackson;He hit me and i turned and said Johnny you just hit me
Geovanny;Amber has a nice roast beef
user7443141920639;Johnny is not guilt ee
pokégamer;johnnyyyyyyyyy, come on you can do it
MP;Amber is a big liar opportunist that needs to be exposed and held accountable for her actions
alicedoyle579;Sooo has she been questioned by johnnys lawyers yet?
Ricshia Bold;I DIDNT EVEN KNOW HER UNTIL JOHNNY CASE.
J420 <3;How does amber look???
MoonFaerie;WE SHOULD ALL CHANGE PROFILE PIC TO JOHNNY DEPP
um?;JUSTICE FOR JOHNNY AND THE BEE!!!
timeriksoo;#teamamber, men are born into misogyny
Neko @ EternalDistinction;Check out my MEGA PINT Custom Tee @eternaldistinction  - dropping an Amber Heard tee todayyyyy
Bex;Johnny was there before. He left and she made more mess!!!
_piccolaragazza_;#justiceforjohnnydepp
apinkphoenix;#JUSTICEFORJOHNNYDEPP
chicaintrepida;APOYEMOS A JOHNNY DEPP
>Carol <;#JUSTICEFORJOHNNYDEPP
isa;everyone know that Johnny will win, because he is a honest people.
Just a normal March 7th lover;Oh god I can’t wait for there to be more hilarious random quotes from amber this time
Shell;Amber turds in blue I think
emmadivinepsychicmedium;Amber is a stalkerrrrrrrrr
Red Sox fan;Amber probably still wins even though she’s guilty
ramo ublar;why dies johnny depp do when hangs out with Marlyn manson?
user5627788683951;Johnny doesn’t remember doing half this shit.
Sarah Kate Coleman;The person commenting team amber is asking for trouble lol
Yourmom420;Let Johnny speak damn
Bubbles;Is johnny green or blue
Kpop;@blvckknives no johnny is green
RayRenee;She’s a little off and has psychotic attacks Johnny won this case
Viviana Andrea;johnny is such a cutie
Bubbles;Is johnny green or blue
Nah;If amber doesn’t lose the system is rigged
Marie Birdsall;Shows a lot of begging on ambers part lol
..;Blue hearts for Johnny
cal;why does amber look like that
mshmsh5566;what ever you say Amber scripts bad acting
Brooke Baxter;When does Johnny’s lawyers talk
Roxxieee;what did you step on this time amber
Candy;@lauralicous1 Team Johnny
user2529315821805;Aquí en español, Tex mex y Spanglish … gooooo Johnny
Kim Morris;Damn I love Johnny but those text make me think it is him he’s confessing and apologizing
user8706144921142;time amber heart #power
louisejohnson248;then 4 give move on  this is ridiculous Johnny is going to win this tho
Nestor Vargas;thinking of shaving my beard into a goatee to support Johnny us guys gotta stick together!!!
Kristine Louise Wick;Johnny is just the best man in the World
angela_c_rojas;Mt. Deep. Not Johnny bee lady
Quetzalli_Itzel;You live for lying Amber
Samantha Smith;I wana see johnny lawyers faces
user9738669065126;Oh, how big of you amber…please they agreed to help repair your image if you donated to them
Rosa Toledo;Can’t wait for Johnny’s team to cross examine
Ariel Titus;amber took everything from Johnny amber still had her roles in movies Johnny got that taken from him
lowridinin64;all my homies love Johnny
jennaleigh1990;JUSTICE FOR JOHNNY!!!
Carlos;Amber solution= cry and act like the victim
Betty Ayala;WILL JOHNNY BE ON THE Stand AGAIN
Httjfhjhh;Amber need go to jail now thanks you and we need captain jack back please DISNEY thanks you.
.;Oh god ambers such a liar dude
Ash Lynn;Johnny donated too but he also went to go see these kids that were sick to make them happy
Ya;Amber Heard Couldn’t Pay Second Half of Donation After “Financial Difficulties,” According to ACLU
kirstyager2;Johnny and Elon gave them money not her, that’s perjury my honour.
Colleen Bates-Podina;hey amber my dog stepped on a bee
Olivia P;What’s in the bottle amber
eyelandgyal1;Johnny made the checks out
user4391798058330;Justice for Amber. Johnny is Trash.
Native;Spit it out Amber, sick of her stumbling
Fxncy;amber heard is the word definition of lying
nikol;I WANT TO SEE JHONY DEPP NOT AMBIR HERT
RainbrowdropinfusionsLTD;Why does she always look at the jury why not look at johnny
Sam;Exactly Johnny paid it
Danny Gonzalez;She didn’t pay shit that was Elon and Johnny making payments in her name
Natalia Resendez;SHE PLEDGED 3.5 MILLION AMD ONLY PAID 350,000, JOHNNY PAID SOME FOR HER
Hahaha;Ambers been using here time wisely I see no sad faces today
Matteo Adamo;didnt do it for money hmm then why elon musk the jhonny depp
cheristroud;They came from Johnny and Elon not her
Joy Edinger;Elon Musk is a terrible person no wonder he dated Amber
Clara Olivares;@mdubois11 wrong. Team Johnny
lauren_b275;Justice for Johnny Depp
onlinetrish;NOT HER SAYING ITS JOHNNYS FAULT
despoinakitsiou;imagine the liar is johnny (i cant even think about it)
Kiley7172;Don’t blaim it in Johnny
yatesjanie290;Why doesn’t she leave Johnny Alone and get with Elon
Johnny Boy;Justice for Johnny, Redemption for Amber. No jail/prison time, one fine of a reasonable sum
user2151201529855;What’s In the bottle amber
Krissy;Why amber heard look like gru from despicable me today
jasonxxgeo;Elon is good and Johnny
lorrainemian1973;amber please tell the truth and get over with this. you are making up so many stories and prolonging
tan;amber please accept The L
jaredanderson405;because johnny took my money after i took his money
Kyra;Give Johnny his money then
kellylovitt_roberts;Amber heard is a lierrr
Onomatopoeia;Johnny also gave money to the parents to help them
Riggin20;Boooooooooooooooooooooooooooooo AMBER
Nevaeh Colon;Ohh she lying on Johnny she better lose ong
user158660553264;She’s no victim. Johnny is!!
Abraham Lara;Johnny tiene que ganar
Katelynn Gutierrez;Elon visually shows physical abuse from Amber
Kayla;Wait isn’t Elon the same man she said Johnny was jealous of and he had nothing to worry about.
CaroAnimation;JUSTICE FOR JOHNNY!!!
hayley;what’s in the bottle amber?
Brazilian girl;Now is Johnny depp she hasn’t paid
Fake plant lover;so it’s all Johnny’s fault according to her
BangtanBoyz_Love;SHE IS BLAMING JOHNNY
Joe Mama;so she can’t pay for her own things bc of us johnny? though johnny has no way to control her money
Teresa Mohabir;Put the canera on johnny
Krissy;Why amber look like gru from despicable me today
The to the B;also, please realize that its not just your name who is tainted but also johnny
Anton Elias Schick;Justice For Johnny depp
Mario Flores;Because Johnny sued her she is not going to donate?? What lol
dawsonbrowning935;some chuckle nut sed justice for amber
J D3409;she needs johnny money to cover her lies now
maishaboo;What has Johnny suing got to do with anything
Adri;So it’s Johnnys game??
Rafaella ioannou;why is she a liar #johnny
Amanda jade;ohhhhh now it’s Johnny’s fault she didn’t do note the rest of the money hahahha
ElleeNokes;honor for Johnny depp
paul therrien355;Team Johnny for the win
McKenna;When Johnny wins she needs to go to jail for lying under oath
blackiemeow;Nah she wanted the money to get through her first rather than johnny directly donated to aclu
una reina pagana;my dog stepped on something, oi, its ambers lies
Rosa Toledo;So she didn’t donate because Johnny stopped giving the money? I thought she was a talented actress?
Sara steele;lmao blaming Johnny for not giving the remainder what a joke
ouuuu;SHE AINR EVEN FINE WHY JOHNNY WHYYYYYYYYYYYYY
colin johnson;Lol did someone just say amber is the best
alysha.peacock1977;Amber takes another shot of alcohol
Ashton;she tried to ruin Johnny
miakkmia;amber sippin some lean
TheGreatAmbino;more like johnny depp vs. dr evil
Aleisha             she/her;Johnny has made of 90 movies and you aquaman
Xinder;Cmon jury make the right choice and choose Johnny Depo
Trane;Her $7 mil obligation is just that.  Doesn’t matter what Johnny does after
Peyton Turner;So she used the donation money to pay for Johnny suing her? Tf is wrong with her brooo
edit;#JUSTICEFORJOHNNYDEPP
Onomatopoeia;we want to see johnny
Makayla Donley;Justice for Johnny!!!!!
Wilcania Brea;TEAM JOHNNY we love you!!!
Laura Lou;Justice for Johnny!!! Cash App@LauraLouFool
Drew Chatelain;Johnny is doodling lol
DrTic2daToc;Johnny is guilty. No one wears a ponytail to court
Jacob;Make Amber Heard Nobody Again 2022
Crazy As They Come;johnny drawing something?
JJ;Ambers team has been cheating and watching all are tiktoks
sweetestteaeva10;Can Johnny see these comments lol
Karla Martinez Serna;i support johnny deep
dutch bros;Johnny my boy, you can handle this bitshhh
Mathieu Gokas;Johnny deserves better
Hayhay;JUSTIC FOR JOHNNY DEPP
Ashley Rodriguez;Did johnnys lawyer get a lil haircut ???
Charles;CAN YOU HEAR ME IM WATCHING YOU JOHNNY
OnlyHackers_xD;The noise its just amber screaming
eliteew420;JOHNNY! Take some mushrooms
Mary Elizabeth Belch;I wonder what johnny is doing right now?
DieProbleemKind;IF YOU VOTE TEAM AMBER YOU ARE A FEMINIST
Vinnyblue;Cash app $vincentdelmaro $50 team Johnny
Rustynails;Anyone know how long it took for Johnny to testify?
Nozza;#freejohnnyfromamberpsycho!!!
Karla Jones;Johnny playing among us
Vibe Paradise;I as the new judge of court announce amber guilty
Alessandra Castro;johnny is so fineeeeeeeeee
Ayla;johnny isnt innocent either hes a grown man
user9375811839569;People saying TEAM AMBER DEFFFFF VOTED FOR BIDEN
Frosty;johnny ain’t worried cause he knows he’s ganna win
Queen B;Hang in there Mr. Depp
Lyn Trosky Gallant;does anyone actually believe amber?
aleshiamarie85;blaming g Johnny for not doing her dontlation as pro.ised .. lies after a decade wow
TR4V3FLOW;what Johnny make? Sudoku?
jchtx713;amber had to go take a shit on the Johnny  lawyer bed
Hannah Mincks;I like how Johnny sits right in the middle of his lawyers. Amber sits off to the side….
Kamryn Deigel;Everyone say it TEAM JOHNNY !!!
Candice;Go johnny gooooooooooooo
Justin malyn;Johnny look good no cap
mads;johnny hasn’t looked once at amber he’s terrified of her. she’s digusting
KirstyK705;Johnny began the lawsuit she couldn’t pay the charities as promised?
Wyatt Sparks990;what does my dog stepped on a bee have to do in a trail against Johnny
user2835407281015;i love how calm Johnny is
Genesis;Why is this case still going?? Amber needs to stop being heard lmao
crunchybacon69;tara johnny shot puno
Samantha;i wanna see his colored page. hold it up johnny lol
soyliliberrios;Come on Johnny Depp we support you
_lifewithheathernicole;AMBER NEEDA TAKE A HIKE
Jessica Sheehy;no matter how this ends. johnny has won. he wins in the fourt of public opinion
ilovecookiedough;lmao who said go amber
Odessa Dennetta Vele;team Johnny all the way
Karla Martinez Serna;I support Johnny deep
tots.and.preyerz;Johnny checking out Camille and Elaine, wishing he can step out to smoke for a bit. hehehe
RomanianBro;@nicosfangirlsuchtelinie amber*
Paris Saba;Bet Johnny is watching tik tok
Caitlin;GUYS I JUST GOT BACK IS AMBER STILL ON STAND
Granit Kingji;Amber is innocent until proven Guilty.
POOP;Johnny hasn’t stop paying his bills even after you took 7 million no excuse amber
Robin Marie Maddox;im praying for you Johnny
kristalreedom502;yea go Amber off the stand with the lieing
Hannah Olson;Wasn’t pro Amber until right now. Think for yourselves everyone. If this evidence is true… damn.
Rob Mc;At least Johnny doesn’t snort Coke mid trial
ami;it’s hard to stay neutral when amber heard literally exists
YEETbored;Bro her parents literally on johnnys side
Hannah Wood;If you are team Amber I think you need a straight jacket if you are falling for all her lies
Ciara;Team Johnny all the way
Aniyah Hayes;cashapp $AniyahHayes333 50$ if TEAM JOHNNY
faldelahschroeder;Team Johnny all the way
Max Radley;@laurelmctavish996 AMBER WANTS THE BEST!?!?!?!?
alexis40ful;I hope they lock Amber up!! I know they won’t but wishful thinking.
Hayley;When are johnnys lawyers questioning her?
little Ozzy lover9;Amber is Guilty Amber is Guilty
user9270492499338;Did somebody just say team amber ??
Pickleshidder;Smoking that amber pack
nazwec;This man abused my man Johnny
Anonymous Gamer;People that like Amber probably act like her
ehifenke;amber turds on the bed
J0shHenny;Nah amber we don’t love you
Terrence_Rampa;draw my like by johnny deep
thym70;amber name is destroyed
boda2122;Type C U Next Tuesday for your thoughts on Amber
Maoly Palma;"amber will be donating all "
Trisha Curtin;Who’s asking amber the questions?
Astrid;Amber: ZZZZ  Johnny: GOODD
Anonymous Gamer;People that like Amber probably act like her
Ella Marie;She has history of domestic abuse. JOHNNY DOESNT!!!!
D!3T3;now what will Amber wear for tomorrow
Miranda Rasmussen;AH PARENTS side with JOHNNYYY
Fourdorrsmorewhore;amber eye steped on bee
Matilde Mtz;estamos contigo Johnny
Original J Z;Amber likes a man to foot her bills but she doesn’t want the man
Anonymous Gamer;People that like Amber probably act like her
Edwen Reyes;Everything is everything for you amber
A :);WE LOVE YOU JOHNNYYYYYY
aliesiatorii;@m009m TEAM AMBER????????
mamaqueeniee;because she no longer gives a shit aboutJohnny
Otaku.bri;$brianacelestee TEAM JOHNNY
Yeppitsme#1;Justice for Johnny Depp
LakZa;Can’t believe a lot of you are on Johnnys side he’s Bestfriend with a child abducter
Aniyah Hayes;CASHAPP IF TEAM JOHNNY $AniyahHayes333
The Fallen One;Cancel Disney plus for Johnny.
Zynia;How bout Johnny missing out and being sacked from pirates eh?
Your stepmom;There’s some weirdos in the comments that actually support Amber LMAO y’all look goofy
